Date de création,Type,Catégorie,Équipe,Produit,Ligne,Famille,Défaut,Qte défaut,"Phase d'origine",Phase de détection
2025-04-10,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Effort ressort non conforme,23,Test force GENIIC,Test force GENIIC
2025-04-11,Scrap,reglage,Matin,SIM II,sim 2,SIM,boitier cassé,42,insertion rotule,insertion rotule
2025-04-10,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,1,soudure électrique balais 1 et self 1,soudure électrique balais 1 et self 1
2025-04-10,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,languettes cassés,1,soudure électrique contact self 3 OU PTH SELF,Test force GENIIC
2025-04-11,Scrap,process,Matin,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,5,robot  de brasage,robot  de brasage
2025-04-11,Scrap,process,Matin,VM4 Tower,VM4 Partie A,VM4,flux sur tour,1,robot  de brasage,robot  de brasage
2025-04-11,Scrap,process,Matin,PPC VM4/HORAIRE,VM4 AUTO II,VM4,reteneur.. cassé,5,mise en place de composants sur palettes,mise en place de composants sur palettes
2025-04-11,Scrap,process,Matin,PPC VM4/HORAIRE,VM4 AUTO II,VM4,bakélite cassé,3,Soudure 3 eme self tresse,Soudure 3 eme self tresse
2025-04-11,Scrap,process,Matin,PPC VM4/HORAIRE,VM4 AUTO II,VM4,soudure écrasé,2,Soudure PTH/CONTACT,Soudure PTH/CONTACT
2025-04-11,Scrap,process,Matin,PPC VM4/HORAIRE,VM4 AUTO II,VM4,soudure écrasé,2,Soudure électrique Rivet,Soudure électrique Rivet
2025-04-11,Scrap,process,Matin,PPC VM4/HORAIRE,VM4 AUTO II,VM4,boutrollage NC,1,mise en place de composants sur palettes,test electrique
2025-04-11,Scrap,process,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,Self déformée,22,Verrouillage self / tresse,Déchargement palette
2025-04-11,Scrap,reglage,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,Platine cassé,3,Verrouillage self / tresse,Déchargement palette
2025-04-11,Scrap,reglage,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,muret cassée,1,Verrouillage self / tresse,Déchargement palette
2025-04-11,Scrap,process,Matin,BACK UP ANTENNA K0,back up antenna,BACK UP ANTENNA,Fil débobiné,3,BUA controle vision,BUA Soudure étain des terminals
2025-04-11,Scrap,process,Matin,BACK UP ANTENNA K0,back up antenna,BACK UP ANTENNA,"Exés d'étain sur fil",1,BUA controle vision,BUA Soudure étain des terminals
2025-04-11,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Marquage décalé,16,Test électrique,Test électrique
2025-04-11,Scrap,process,Matin,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,4,robot de brasage,robot de brasage
2025-04-11,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Boîtier cassé,3,Mise en place condo axial,Mise en place condo axial
2025-04-11,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Mauvais bouterollage lame balai,10,Bouterollage lame balai sur boitier,Mise en place condo axial
2025-04-11,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,soudure condo écrasé,4,soudure électrique condo sur lame,Montage self / lame
2025-04-11,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Soudure self  écrasée,3,soudure électrique self sur lame,MEP condo  + Retournement boitier
2025-04-11,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,mauvaise bouterollage condo axial,3,Boutrollage condo axial,Montage self / lame
2025-04-11,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Lame déformée,1,CF partie B,CF partie B
2025-04-11,Scrap,process,Matin,505-931,DCK,DCK,Bakelite cassé,2,insertion guide chargé (ressort/balai) dans la palette,insertion guide chargé (ressort/balai) dans la palette
2025-04-11,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Patte de masse déformée,1,CF partie B,CF partie B
2025-04-11,Scrap,process,Matin,505-931,DCK,DCK,Guide écrasée,2,insertion guide chargé (ressort/balai) dans la palette,insertion guide chargé (ressort/balai) dans la palette
2025-04-11,Scrap,defaut,Matin,ligne 2,Preparation CM4,CM4,Balais cassé,5,soudure self tresse,montage self/balais sur boitier
2025-04-11,Scrap,formation,Matin,505-931,DCK,DCK,soudure self connexion2 écrsé,6,soudure self /terminal 2,soudure self /terminal 2
2025-04-11,Scrap,reglage,Matin,ligne 2,Preparation CM4,CM4,Boitier endommagée,2,sertissage automatique de 2 inserts+patte de masse,retournement
2025-04-11,Scrap,process,Matin,ligne 2,Preparation CM4,CM4,PDM endommagé,3,sertissage automatique de 2 inserts+patte de masse,retournement
2025-04-11,Scrap,defaut,Matin,ligne 2,Preparation CM4,CM4,Spire dérouler,7,soudure self tresse,montage self/balais sur boitier
2025-04-11,Scrap,process,Matin,PPC MNG2 2L2C,Mng 2.2,MNG,plaquette cassée,1,poste de montage reteneur,poste de montage reteneur
2025-04-11,Scrap,process,Matin,CM3,CM3-CM4 Ligne 1,CM4,Mauvaise soudure tresse,7,Soudure self-contact / PTH-contact,Controle Final
2025-04-11,Scrap,process,Matin,CM3,CM3-CM4 Ligne 1,CM4,fourchette self endommagée,17,Soudure fourchette 3 CM3,Controle Final
2025-04-11,Scrap,reglage,Matin,CM3,CM3-CM4 Ligne 1,CM4,Boitier endommagé,11,poste test électrique,Controle Final
2025-04-11,Scrap,process,Matin,CM3,CM3-CM4 Ligne 1,CM4,vernis sur boitier,2,Poste de vernissage auto,poste contrôle vernis
2025-04-11,Scrap,reglage,A Midi,11TA,11TA1,Engine Cooling,soudure self écrasé,2,soudure self N°1,soudure self N°1
2025-04-11,Scrap,process,Matin,CM3,CM3-CM4 Ligne 1,CM4,fourchette déformé,28,Soudure fourchette 2 CM3,Controle Final
2025-04-11,Scrap,process,Matin,CM3,CM3-CM4 Ligne 1,CM4,Marquage non conforme,1,poste test électrique,Controle Final
2025-04-11,Scrap,process,Matin,10T,T7,Engine Cooling,Platine cassé,1,soudure self fusible (self N°2),soudure self fusible (self N°2)
2025-04-11,Scrap,process,Matin,B8,B8,B8,soudure connecteur éclaté,2,soudure connecteur sur platine,soudure connecteur sur platine
2025-04-11,Scrap,process,Matin,B8,B8,B8,connecteur mal plaqué,1,soudure connecteur sur platine,controle finale & conditionnement
2025-04-11,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,patte de masse tordue,25,Boutollage PDM,Mise en place des ressorts
2025-04-11,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,marquage illisible,7,identification de pièce par marquage,identification de pièce par marquage
2025-04-11,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,boitier cassé,7,Enfonçage de la rotule sur le boîtier,
2025-04-11,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,bavure plastique,6,Enfonçage de la rotule sur le boîtier,MEP joint et retournement pièce
2025-04-11,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,marquage décalé,5,identification de pièce par marquage,identification de pièce par marquage
2025-04-11,Scrap,process,A Midi,CM3,CM3-CM4 Ligne 1,CM4,PDM endommagée,2,Poste montage+controle caméra PCB,poste contrôle vernis
2025-04-12,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Mauvais bouterollage lame balai,14,Bouterollage lame balai sur boitier,Mise en place condo axial
